n,alpha,beta,rep,N_opt,theta22_hat,sigma2_hat,h_hat
100,2.0,2.0,38,1,3625.3501889276577,0.9231586503202474,0.1548812642150116
100,2.0,2.0,39,1,2176.2704513416525,0.9738925546106302,0.1733697188601043
100,2.0,2.0,40,5,15433668.783787232,0.8013274561150163,0.02830621352388914
100,2.0,2.0,41,3,703531.1515322026,0.9100802957266211,0.05384841005652722
100,2.0,2.0,42,1,1055.9465024821197,1.290257107035464,0.21194368335921462
100,2.0,2.0,43,1,3361.6836805093217,1.0357948582234562,0.1609003503926979
100,2.0,2.0,44,1,1208.3577563993808,1.4258690771630438,0.21047011199442928
100,2.0,2.0,45,1,2460.140559274194,0.9068209169065226,0.16677307270367348
100,2.0,2.0,46,2,104350.9626698587,1.0381478273941394,0.08097783413367393
100,2.0,2.0,47,1,6492.85368635411,0.9781241718343385,0.13944575046288843
100,2.0,2.0,48,1,1731.1679670824776,1.0568573778118433,0.18447989555849945
100,2.0,2.0,49,1,2169.1397872045445,1.1864087742902643,0.1804691491426505
100,2.0,2.0,50,1,3066.092100666734,1.1786554305083374,0.16817984269033223
100,2.0,2.0,51,2,12960.12404467818,1.0877462735321748,0.12405015122391767
100,2.0,2.0,52,1,2193.8215237647846,1.1167110238704248,0.17789408621107097
100,2.0,2.0,53,1,1734.8928473195404,0.9522042412511235,0.18059474123653277
100,2.0,2.0,54,1,605.8538731347335,1.0374280837974548,0.22674182153726752
100,2.0,2.0,55,1,1636.0147475393749,0.962745971866165,0.1831295836673857
100,2.0,2.0,56,1,1740.5621226212797,1.0565207412411228,0.18426858829733997
100,2.0,2.0,57,2,55136.749560094,1.2509154714972353,0.09549287519125939
100,2.0,2.0,58,1,1088.000489478362,0.8768022594250178,0.19501504734200614
100,2.0,2.0,59,3,1339888.3450742129,0.7327943221894048,0.04533110505015043
100,2.0,2.0,60,1,3929.9823596035385,1.019247519362936,0.1554502487392588
100,2.0,2.0,61,1,853.9517275541917,1.1653170075027397,0.21667847062733023
100,2.0,2.0,62,2,116315.35631555332,0.8822450751175852,0.07670153339532061
100,2.0,2.0,63,1,1052.4658186285858,1.0438832400792275,0.20328362373764503
100,2.0,2.0,64,2,69993.19118352058,1.2626706399177234,0.09121378265423433
100,2.0,2.0,65,1,3011.880896385259,1.2462073676648326,0.17067272123089303
100,2.0,2.0,66,3,1126321.5873243406,0.9299126980410588,0.04922316816542444
100,2.0,2.0,67,1,623.2233603624888,0.8779258094525936,0.2180602107432971
100,2.0,2.0,68,1,1146.5354304494942,1.0518904253171801,0.20013830312369973
100,2.0,2.0,69,1,2873.0386134733444,1.0978027296001012,0.16797713803055023
100,2.0,2.0,70,1,3151.8400847513653,0.8985880238523225,0.15842105429102876
100,2.0,2.0,71,1,1379.8410567374262,1.1556138525345998,0.1965216238717663
100,2.0,2.0,72,1,733.0125372466978,0.9959082108867375,0.21648867925336773
100,2.0,2.0,73,1,1234.9022646275653,1.1193106387943939,0.1996536332486156
100,2.0,2.0,74,1,1567.0774639888318,0.9842502338283261,0.18553105800321767
100,2.0,2.0,75,1,1979.3318736019519,0.7081222902099824,0.16577977210264153
100,2.0,2.0,76,2,31114.032536189126,1.1201997060034061,0.10473249252981928
100,2.0,2.0,77,2,70414.5329779552,1.0907275044452949,0.08847578022806704
100,2.0,2.0,78,1,281.93520484704715,0.9433617407053689,0.25925037833564324
100,2.0,2.0,79,1,6110.380814831999,0.852761977827943,0.13733003129279037
100,2.0,2.0,80,1,1798.2510842632773,1.0426730285284487,0.18258839480333341
100,2.0,2.0,81,1,3215.6809274671077,0.8738455875266888,0.15690831492214163
100,2.0,2.0,82,1,1017.5012767821332,1.16501039468136,0.20920524875872556
100,2.0,2.0,83,1,1547.687674701449,1.3706078464240958,0.19872824023016689
100,2.0,2.0,84,1,937.2242934099891,0.84432219820132,0.19940982066785617
100,2.0,2.0,85,1,547.4711901394521,1.205242323800759,0.23842743666090815
100,2.0,2.0,86,1,1756.9220752023143,1.064350535897352,0.1841959366977284
100,2.0,2.0,87,1,360.217577603954,1.1133086447946001,0.255166551835891
100,2.0,2.0,88,1,1916.0761729019264,0.8712931858366801,0.17392576342633276
100,2.0,2.0,89,2,150102.76077843294,0.806867214386063,0.0715972409281973
100,2.0,2.0,90,1,1162.8687682360858,0.9741866310768563,0.19653318874582662
100,2.0,2.0,91,1,2866.184843217243,1.136776371566435,0.1692340615469873
100,2.0,2.0,92,1,317.9341266155839,0.9773842114078344,0.2548937832302852
100,2.0,2.0,93,1,1897.1752216901139,0.945567509032953,0.1771457054867612
100,2.0,2.0,94,1,1262.6234865805566,0.8235941377468714,0.1869396759370476
100,2.0,2.0,95,1,2620.078931740227,1.163002466891021,0.17308796066492294
100,2.0,2.0,96,1,522.3981326813436,1.0681528688379598,0.23493080560981774
100,2.0,2.0,97,1,1680.7926907253243,0.9851620915159462,0.18298366299938865
100,2.0,2.0,98,1,793.2642300817665,0.9184139397697418,0.20967069170877584
100,2.0,2.0,99,2,29703.184066061178,1.1480050463744076,0.10622867560656632
100,2.0,2.0,100,1,5609.068187538092,0.9501856454358028,0.1427569162411065
100,2.0,5.0,1,1,2908.307159064683,0.8511131572012216,0.15925131063202916
100,2.0,5.0,2,1,10167.736765857837,0.7776809628950762,0.12176684221519896
100,2.0,5.0,3,1,2775.888729304676,1.0599364881043196,0.16795354182898042
100,2.0,5.0,4,1,6649.523567988102,1.1088753521220307,0.14230889582582745
100,2.0,5.0,5,1,1767.035072140928,0.9530693062972426,0.1799655887943656
100,2.0,5.0,6,1,10441.770406871856,0.8277857065064979,0.12264288709416733
100,2.0,5.0,7,2,216423.776556705,1.1274111868835854,0.07114904622606326
100,2.0,5.0,8,1,1116.9186519310094,0.9931840994913017,0.19889105515593142
